source,target,distance
东平县,东平县,0.1
东平县,东昌府区,0.6053214415320448
东平县,东明县,1.4402358212086221
东平县,东港区,3.154159755265485
东平县,东营区,2.651238793012506
东平县,东阿县,0.375561646945504
东平县,临朐县,2.208562816551325
东平县,临沭县,2.5255745334408535
东平县,临淄区,2.1265336353373754
东平县,临清市,1.068887129184081
东平县,临邑县,1.3888206375893646
东平县,乐陵市,1.8464651196485486
东平县,乳山市,5.252169675132725
东平县,五莲县,2.8612373087990486
东平县,任城区,0.6169085355582871
东平县,兖州区,0.6374971498545299
东平县,兰山区,2.1883570162636854
东平县,兰陵县,2.039238200109498
东平县,冠县,1.0456526999136417
东平县,利津县,2.7029701068450214
东平县,单县,1.2112624664704277
东平县,博兴县,2.124057274952257
东平县,博山区,1.5890879085808969
东平县,即墨区,4.233518009285128
东平县,历下区,0.9983369994561793
东平县,历城区,1.0030267805937447
东平县,台儿庄区,1.9730578308765216
东平县,周村区,1.7242664287742617
东平县,商河县,1.6006237862231398
东平县,嘉祥县,0.5680521821674133
东平县,坊子区,2.970993294901305
东平县,垦利区,2.9510609554644973
东平县,城阳区,4.004691675766794
东平县,夏津县,1.1005230410835134
东平县,天桥区,0.9443814686812616
东平县,奎文区,2.893191069703346
东平县,宁津县,1.7587464035686666
东平县,宁阳县,0.6208302082056576
东平县,安丘市,2.777823562753194
东平县,定陶区,1.196273434467727
东平县,寒亭区,3.013109265541426
东平县,寿光市,2.7008596436639882
东平县,山亭区,1.4100222330905787
东平县,岚山区,3.0829577824485312
东平县,岱岳区,1.0591772836398639
东平县,峄城区,1.7238300560399904
东平县,崂山区,4.212263838079473
东平县,巨野县,0.6355193068597103
东平县,市中区,0.9312694794262262
东平县,市北区,4.050858712957987
东平县,市南区,4.0015640794283245
东平县,平原县,1.1659547631247846
东平县,平度市,3.6710205906619575
东平县,平邑县,1.3671203233621212
东平县,平阴县,0.329484870652797
东平县,广饶县,2.5420381157987415
东平县,庆云县,2.1161464600480144
东平县,张店区,1.8581397123565289
东平县,微山县,1.4006477317192487
东平县,德城区,1.4561984635380723
东平县,惠民县,1.9040514542701412
东平县,成武县,1.1239024308242511
东平县,招远市,4.248614657002704
东平县,文登区,5.786161234949248
东平县,新泰市,1.2696121470496113
东平县,无棣县,2.1663976199268093
东平县,昌乐县,2.6595043508908063
东平县,昌邑市,3.1791549222600457
东平县,曲阜市,0.7433499836872828
东平县,曹县,1.4091604378106908
东平县,李沧区,4.0767942553300305
东平县,栖霞市,4.754288989142711
东平县,桓台县,1.9360521407386806
东平县,梁山县,0.31291212014909214
东平县,槐荫区,0.9124874331291587
东平县,武城县,1.2700295554472443
东平县,汶上县,0.27666885350924125
东平县,沂南县,2.1517830972130745
东平县,沂水县,2.279042850550111
东平县,沂源县,1.8680296487528485
东平县,河东区,2.3098994761596976
东平县,河口区,3.0174355555386434
东平县,沾化区,2.474176438389738
东平县,泗水县,0.9750005267612477
东平县,泰山区,0.8818082287789546
东平县,济阳区,1.3227108450706004
东平县,海阳市,4.880924619847538
东平县,淄川区,1.7434882467784567
东平县,滕州市,1.203135750260611
东平县,滨城区,2.1808083419842488
东平县,潍城区,2.772587793689969
东平县,牟平区,5.347351921635668
东平县,牡丹区,1.1847270329540902
东平县,环翠区,5.957215602592102
东平县,福山区,5.07237191973009
东平县,禹城市,0.9845083473423706
东平县,章丘区,1.3901343597967886
东平县,罗庄区,2.1626996349287637
东平县,肥城市,0.40017105728027264
东平县,胶州市,3.584868482260065
东平县,芝罘区,5.239954320256344
东平县,茌平区,0.6137517899050844
东平县,荣成市,6.1866777426190565
东平县,莒南县,2.604860740588778
东平县,莒县,2.512077937513443
东平县,莘县,0.732394085944207
东平县,莱山区,5.299510062660358
东平县,莱州市,3.7896166746080606
东平县,莱芜区,1.3426192929686311
东平县,莱西市,4.175281249151889
东平县,莱阳市,4.489370593513648
东平县,蒙阴县,1.6106806741310533
东平县,蓬莱区,4.80688426267093
东平县,薛城区,1.4884904348736196
东平县,诸城市,3.0089866816785262
东平县,费县,1.7661723576848736
东平县,邹城市,0.8408824096512197
东平县,邹平市,1.64640731289066
东平县,郓城县,0.5581650982211355
东平县,郯城县,2.428658913700448
东平县,鄄城县,0.9412008149104063
东平县,金乡县,0.9099352587824071
东平县,钢城区,1.4573300909777451
东平县,长清区,0.7013758979880131
东平县,阳信县,2.065744193296465
东平县,阳谷县,0.5814129260934002
东平县,青州市,2.2340287398901135
东平县,高唐县,0.899306801937277
东平县,高密市,3.3972219767630376
东平县,高青县,2.7335713209692987
东平县,鱼台县,1.0209669443592555
东平县,黄岛区,3.9248020529357768
东平县,齐河县,0.8099935680353252
东平县,龙口市,4.441116000023985
东昌府区,东平县,0.6053214415320448
东昌府区,东昌府区,0.1
东昌府区,东明县,1.4545210596797347
东昌府区,东港区,3.634210205480757
东昌府区,东营区,2.7852959089828997
东昌府区,东阿县,0.2949273020350045
东昌府区,临朐县,2.562093363722921
东昌府区,临沭县,3.080716179123006
东昌府区,临淄区,2.3651789888877457
东昌府区,临清市,0.4655815279669006
东昌府区,临邑县,1.22438619404042
东昌府区,乐陵市,1.6751682809399169
东昌府区,乳山市,5.5680930780872115
东昌府区,五莲县,3.30861380794829
东昌府区,任城区,1.2096767319469204
东昌府区,兖州区,1.2384665959470829
东昌府区,兰山区,2.7440721616364434
东昌府区,兰陵县,2.6233707769359933
东昌府区,冠县,0.5325518566777233
东昌府区,利津县,2.790424010832767
东昌府区,单县,1.6539904882773715
东昌府区,博兴县,2.2675453759328086
东昌府区,博山区,1.8849378450962904
东昌府区,即墨区,4.586419427052225
东昌府区,历下区,1.1250949022637815
东昌府区,历城区,1.117632309729076
东昌府区,台儿庄区,2.576557545914459
东昌府区,周村区,1.9287960792996355
东昌府区,商河县,1.5207192808904244
东昌府区,嘉祥县,1.1005476580998548
东昌府区,坊子区,3.286508844644949
东昌府区,垦利区,3.0524080433227017
东昌府区,城阳区,4.378026337308736
东昌府区,夏津县,0.5798866375994975
东昌府区,天桥区,1.0401916420242625
东昌府区,奎文区,3.1944086176611908
东昌府区,宁津县,1.4724811599938519
东昌府区,宁阳县,1.1648718837422962
东昌府区,安丘市,3.1344570921445185
东昌府区,定陶区,1.4305128304959216
东昌府区,寒亭区,3.2738983908277053
东昌府区,寿光市,2.9353476549672335
东昌府区,山亭区,2.0054430211866645
东昌府区,岚山区,3.597019759553854
东昌府区,岱岳区,1.4467558969656116
东昌府区,峄城区,2.326237996790131
东昌府区,崂山区,4.596167867326753
东昌府区,巨野县,1.055232335125024
东昌府区,市中区,1.0441836403233413
东昌府区,市北区,4.445032467506706
东昌府区,市南区,4.39906060118347
东昌府区,平原县,0.8441180697931405
东昌府区,平度市,3.9810494369505376
东昌府区,平邑县,1.9126770827265136
东昌府区,平阴县,0.506759818273966
东昌府区,广饶县,2.73095161225682
东昌府区,庆云县,1.9976140669273674
东昌府区,张店区,2.076341239516294
东昌府区,微山县,2.003856607393986
东昌府区,德城区,1.0781114695162548
东昌府区,惠民县,1.8585432164673328
东昌府区,成武县,1.4938755934128327
东昌府区,招远市,4.498809644584845
东昌府区,文登区,6.089743739727918
东昌府区,新泰市,1.7440447819368636
东昌府区,无棣县,2.0896571001269573
东昌府区,昌乐县,2.9816833950509523
东昌府区,昌邑市,3.474355073234954
东昌府区,曲阜市,1.3308191328032035
东昌府区,曹县,1.6758432652099293
东昌府区,李沧区,4.461120517564938
东昌府区,栖霞市,5.019905898685747
东昌府区,桓台县,2.106837394709963
东昌府区,梁山县,0.6535206650469357
东昌府区,槐荫区,1.016148812829322
东昌府区,武城县,0.7769585658106194
东昌府区,汶上县,0.8788101541461343
东昌府区,沂南县,2.647577954298711
东昌府区,沂水县,2.7334994709420233
东昌府区,沂源县,2.2597024005938033
东昌府区,河东区,2.854754674484634
东昌府区,河口区,3.057046502580094
东昌府区,沾化区,2.496054968706731
东昌府区,泗水县,1.5226208836719008
东昌府区,泰山区,1.2530087008906108
东昌府区,济阳区,1.3551291749073133
东昌府区,海阳市,5.197827315716847
东昌府区,淄川区,2.002907411046766
东昌府区,滕州市,1.8079084937711638
东昌府区,滨城区,2.252265340171468
东昌府区,潍城区,3.068666832576562
东昌府区,牟平区,5.631703093138129
东昌府区,牡丹区,1.3153586478229466
东昌府区,环翠区,6.239044836652048
东昌府区,福山区,5.331998672665534
东昌府区,禹城市,0.7739827011418571
东昌府区,章丘区,1.5833674645432994
东昌府区,罗庄区,2.7272142050175168
东昌府区,肥城市,0.8361528791928144
东昌府区,胶州市,3.9612133421937434
东昌府区,芝罘区,5.495401475935521
东昌府区,茌平区,0.3127707331948698
东昌府区,荣成市,6.496758759598691
东昌府区,莒南县,3.130403036341792
东昌府区,莒县,2.9910135099683046
东昌府区,莘县,0.36906783232225143
东昌府区,莱山区,5.565853384657577
东昌府区,莱州市,4.035364837011615
东昌府区,莱芜区,1.7200707953051582
东昌府区,莱西市,4.482135066239994
东昌府区,莱阳市,4.800708765818888
东昌府区,蒙阴县,2.1036245478693405
东昌府区,蓬莱区,5.037632753618043
东昌府区,薛城区,2.093630203165332
东昌府区,诸城市,3.4156780928375983
东昌府区,费县,2.3215911973718617
东昌府区,邹城市,1.4427543851119409
东昌府区,邹平市,1.8180714649194771
东昌府区,郓城县,0.8453621357527833
东昌府区,郯城县,3.013489033526067
东昌府区,鄄城县,0.9957075823986574
东昌府区,金乡县,1.418826409761047
东昌府区,钢城区,1.8776239846608433
东昌府区,长清区,0.7875284038624382
东昌府区,阳信县,2.001462008513108
东昌府区,阳谷县,0.3770341112924652
东昌府区,青州市,2.514964678694596
东昌府区,高唐县,0.49398872543136185
东昌府区,高密市,3.7507693079587865
东昌府区,高青县,2.9311848851434275
东昌府区,鱼台县,1.596680584224337
东昌府区,黄岛区,4.332566601502214
东昌府区,齐河县,0.7584411359874536
东昌府区,龙口市,4.660102878132144
东明县,东平县,1.4402358212086221
东明县,东昌府区,1.4545210596797347
东明县,东明县,0.1
东明县,东港区,4.374228194078949
东明县,东营区,4.088893349732857
东明县,东阿县,1.5598646938243164
东明县,临朐县,3.601779273999645
东明县,临沭县,3.579768866646289
东明县,临淄区,3.5632873962223073
东明县,临清市,1.6752082714179863
东明县,临邑县,2.6667933328580187
东明县,乐陵市,3.124394777678688
东明县,乳山市,6.637225036578697
东明县,五莲县,4.144314834074956
东明县,任城区,1.509487495302816
东明县,兖州区,1.7660602614251848
东明县,兰山区,3.2653694746749613
东明县,兰陵县,2.999000840466669
东明县,冠县,1.2456942077833013
东明县,利津县,4.1322610650582625
东明县,单县,1.1131683403801331
东明县,博兴县,3.5612085813039887
东明县,博山区,3.019241700429691
东明县,即墨区,5.597401150416962
东明县,历下区,2.4174205527700536
东明县,历城区,2.4185667540929274
东明县,台儿庄区,2.7417606760336724
东明县,周村区,3.164495638162694
东明县,商河县,2.942449098698232
东明县,嘉祥县,1.2578767230554773
东明县,坊子区,4.3743824574155585
东明县,垦利区,4.3843617981158065
东明县,城阳区,5.352560397308245
东明县,夏津县,1.9663045839938542
东明县,天桥区,2.3512898869175007
东明县,奎文区,4.30468291680848
东明县,宁津县,2.924358020394965
东明县,宁阳县,1.9417309380136714
东明县,安丘市,4.1578219426963585
东明县,定陶区,0.5298025652090669
东明县,寒亭区,4.439440432858771
东明县,寿光市,4.135524394292119
东明县,山亭区,2.3788028600392592
东明县,岚山区,4.232000268289794
东明县,岱岳区,2.471329848078289
东明县,峄城区,2.5535945956511243
东明县,崂山区,5.5469439188861775
东明县,巨野县,1.0103307188205317
东明县,市中区,2.3435074530554294
东明县,市北区,5.376515057349472
东明县,市南区,5.3241786937610005
东明县,平原县,2.2981135078773622
东明县,平度市,5.070594118886202
东明县,平邑县,2.559419293615488
东明县,平阴县,1.6931247519355537
东明县,广饶县,3.982115755624082
东明县,庆云县,3.437967468366805
东明县,张店区,3.2979335042567426
东明县,微山县,2.0949420016295646
东明县,德城区,2.5152820622708276
东明县,惠民县,3.2712391775312737
东明县,成武县,0.8673202037647321
东明县,招远市,5.672474586085205
东明县,文登区,7.17703437002495
东明县,新泰市,2.598506848237268
东明县,无棣县,3.5175403337741002
东明县,昌乐县,4.063192214336548
东明县,昌邑市,4.590764508818849
东明县,曲阜市,1.9187326996287974
东明县,曹县,0.647940287782056
东明县,李沧区,5.412728742956151
东明县,栖霞市,6.17012744351338
东明县,桓台县,3.375303510589899
东明县,梁山县,1.1289072241629203
东明县,槐荫区,2.320750156214229
东明县,武城县,2.1638051827410565
东明县,汶上县,1.4677687985384362
东明县,沂南县,3.3856086642214915
东明县,沂水县,3.573110335910504
东明县,沂源县,3.2439926163222284
东明县,河东区,3.4143005361204746
东明县,河口区,4.4336879628394374
东明县,沾化区,3.880389921281671
东明县,泗水县,2.2203708107229563
东明县,泰山区,2.3084640795955806
东明县,济阳区,2.7176370480605474
东明县,海阳市,6.267435020494739
东明县,淄川区,3.179507711958401
东明县,滕州市,2.084392374693379
东明县,滨城区,3.6025991464322313
东明县,潍城区,4.187650406850099
东明县,牟平区,6.75161495025267
东明县,牡丹区,0.32975922098223165
东明县,环翠区,7.360637243126465
东明县,福山区,6.489646275810903
东明县,禹城市,2.2152026516508676
东明县,章丘区,2.828943266785545
东明县,罗庄区,3.208068572026631
东明县,肥城市,1.8355216463869657
东明县,胶州市,4.935468444499151
东明县,芝罘区,6.658444908160528
东明县,茌平区,1.739508977596826
东明县,荣成市,7.571461723034314
东明县,莒南县,3.7467881701518366
东明县,莒县,3.758252735144652
东明县,莘县,1.1086809348559172
东明县,莱山区,6.713037248058232
东明县,莱州市,5.216734554788791
东明县,莱芜区,2.747414668479128
东明县,莱西市,5.572856022268344
东明县,莱阳市,5.88204912876826
东明县,蒙阴县,2.885771653157685
东明县,蓬莱区,6.235317463001386
东明县,薛城区,2.2285618350726555
东明县,诸城市,4.3391413375708865
东明县,费县,2.8831588254505665
东明县,邹城市,1.8869696456960852
东明县,邹平市,3.084611546670502
东明县,郓城县,0.90820265720836
东明县,郯城县,3.3460768028280143
东明县,鄄城县,0.5015904968777342
东明县,金乡县,1.241925062054244
东明县,钢城区,2.827874948971144
东明县,长清区,2.089446920889317
东明县,阳信县,3.4237173061540123
东明县,阳谷县,1.083126023401072
东明县,青州市,3.6603401070992434
东明县,高唐县,1.9465042252240468
东明县,高密市,4.770135999422956
东明县,高青县,4.1729742704169706
东明县,鱼台县,1.5841020724812438
东明县,黄岛区,5.236545621718628
东明县,齐河县,2.1382009216326825
东明县,龙口市,5.873548048608727
东港区,东平县,3.154159755265485
东港区,东昌府区,3.634210205480757
东港区,东明县,4.374228194078949
东港区,东港区,0.1
东港区,东营区,2.1674061862643534
东港区,东阿县,3.340781312298901
东港区,临朐县,1.3060314033947094
东港区,临沭县,0.9560907608877057
东港区,临淄区,1.8063968804428858
东港区,临清市,3.9942990728104775
东港区,临邑县,3.1593340169031165
东港区,乐陵市,3.2144858010820956
东港区,乳山市,2.5516743806063853
东港区,五莲县,0.4118680566007445
东港区,任城区,2.8672470439071427
东港区,兖州区,2.6294429854796606
东港区,兰山区,1.169936041536019
东港区,兰陵县,1.5188584683680109
东港区,冠县,4.156538106874647
东港区,利津县,2.383031998441786
东港区,单县,3.4334377012301283
东港区,博兴县,2.171916566378369
东港区,博山区,1.9280891937700462
东港区,即墨区,1.5199864624071098
东港区,历下区,2.6889994108617365
东港区,历城区,2.707754412559643
东港区,台儿庄区,1.9316308721877504
东港区,周村区,2.1062930460932456
东港区,商河县,2.9479721510701222
东港区,嘉祥县,3.1198573398522
东港区,坊子区,1.217985317153086
东港区,垦利区,2.3612814486019316
东港区,城阳区,1.235903735541988
东港区,夏津县,3.7963466549517566
东港区,天桥区,2.773657295725046
东港区,奎文区,1.306882689879163
东港区,宁津县,3.518458940030132
东港区,宁阳县,2.5355821152735634
东港区,安丘市,1.0015010678395975
东港区,定陶区,3.90529027033465
东港区,寒亭区,1.5404200988095762
东港区,寿光市,1.683608744459603
东港区,山亭区,2.0272561982381685
东港区,岚山区,0.33582517590629635
东港区,岱岳区,2.1992622274215274
东港区,峄城区,1.982143180986159
东港区,崂山区,1.3415892174639445
东港区,巨野县,3.367586143568487
东港区,市中区,2.752690471714482
东港区,市北区,1.1587094757440912
东港区,市南区,1.1022022440959258
东港区,平原县,3.4589695615603238
东港区,平度市,1.4198113248113893
东港区,平邑县,1.823650683286554
东港区,平阴县,3.1276630342978087
东港区,广饶县,1.9175240670797726
东港区,庆云县,3.095199526431732
东港区,张店区,1.9978544152245403
东港区,微山县,2.4139824691410414
东港区,德城区,3.652318577459889
东港区,惠民县,2.840807789424733
