disease	county	onset_date	number_of_cases
发热伴	临朐县	2024-04-25	1
发热伴	临朐县	2024-05-11	1
发热伴	临朐县	2024-05-18	2
发热伴	临朐县	2024-05-22	1
发热伴	临朐县	2024-05-28	1
发热伴	临朐县	2024-05-30	1
发热伴	临朐县	2024-05-31	4
发热伴	临朐县	2024-06-01	1
发热伴	临朐县	2024-06-09	1
发热伴	临朐县	2024-06-17	1
发热伴	临朐县	2024-07-04	1
发热伴	临朐县	2024-07-05	1
发热伴	临朐县	2024-07-10	1
发热伴	临朐县	2024-07-13	1
发热伴	临朐县	2024-07-15	2
发热伴	临朐县	2024-07-23	2
发热伴	临朐县	2024-07-28	1
发热伴	临朐县	2024-07-29	1
发热伴	临朐县	2024-08-01	1
发热伴	临朐县	2024-08-02	1
发热伴	临朐县	2024-08-04	1
发热伴	临朐县	2024-08-05	1
发热伴	临朐县	2024-08-11	1
发热伴	临朐县	2024-08-13	1
发热伴	临朐县	2024-08-14	1
发热伴	临朐县	2024-08-15	1
发热伴	临朐县	2024-08-20	2
发热伴	临朐县	2024-08-21	1
发热伴	临朐县	2024-08-29	1
发热伴	临朐县	2024-08-30	1
发热伴	临朐县	2024-09-03	1
发热伴	临朐县	2024-09-09	2
发热伴	临朐县	2024-09-10	1
发热伴	临朐县	2024-09-22	1
发热伴	临朐县	2024-10-09	1
发热伴	临朐县	2024-10-15	1
发热伴	临沭县	2021-07-07	1
发热伴	临沭县	2022-09-01	1
发热伴	临沭县	2024-08-13	1
发热伴	临淄区	2021-08-29	1
发热伴	临淄区	2022-07-26	1
发热伴	临淄区	2022-08-01	1
发热伴	临淄区	2022-10-09	1
发热伴	临淄区	2023-04-25	1
发热伴	临淄区	2023-08-07	1
发热伴	临淄区	2024-07-17	1
发热伴	临淄区	2024-07-23	1
发热伴	临淄区	2024-08-27	1
发热伴	临邑县	2023-06-02	1
发热伴	临邑县	2024-08-29	1
发热伴	乐陵市	2020-05-22	1
发热伴	乐陵市	2020-05-28	1
发热伴	乐陵市	2020-06-19	1
发热伴	乐陵市	2020-10-10	1
发热伴	乐陵市	2021-05-23	1
发热伴	乐陵市	2021-08-16	1
发热伴	乐陵市	2021-09-12	1
发热伴	乐陵市	2022-06-02	1
发热伴	乐陵市	2022-06-27	1
发热伴	乐陵市	2022-07-08	1
发热伴	乐陵市	2022-07-10	1
发热伴	乐陵市	2022-07-18	1
发热伴	乐陵市	2022-07-21	1
发热伴	乐陵市	2022-07-28	1
发热伴	乐陵市	2022-08-02	1
发热伴	乐陵市	2022-08-04	1
发热伴	乐陵市	2022-08-06	1
发热伴	乐陵市	2022-08-19	1
发热伴	乐陵市	2022-08-20	1
发热伴	乐陵市	2022-08-28	1
发热伴	乐陵市	2022-09-06	1
发热伴	乐陵市	2022-09-20	1
发热伴	乐陵市	2022-09-23	1
发热伴	乐陵市	2022-09-25	1
发热伴	乐陵市	2022-10-02	1
发热伴	乐陵市	2023-01-16	1
发热伴	乐陵市	2023-05-22	1
发热伴	乐陵市	2023-06-07	1
发热伴	乐陵市	2023-06-08	2
发热伴	乐陵市	2023-06-23	1
发热伴	乐陵市	2023-07-02	1
发热伴	乐陵市	2023-07-13	1
发热伴	乐陵市	2023-07-24	1
发热伴	乐陵市	2023-07-26	1
发热伴	乐陵市	2023-07-27	1
发热伴	乐陵市	2023-08-16	1
发热伴	乐陵市	2023-10-02	1
发热伴	乐陵市	2024-04-03	1
发热伴	乐陵市	2024-05-06	1
发热伴	乐陵市	2024-05-24	1
发热伴	乐陵市	2024-05-27	2
发热伴	乐陵市	2024-05-29	1
发热伴	乐陵市	2024-06-01	1
发热伴	乐陵市	2024-06-02	1
发热伴	乐陵市	2024-06-05	1
发热伴	乐陵市	2024-06-12	1
发热伴	乐陵市	2024-06-13	1
发热伴	乐陵市	2024-06-15	2
发热伴	乐陵市	2024-06-22	1
发热伴	乐陵市	2024-06-26	2
发热伴	乐陵市	2024-07-22	1
发热伴	乐陵市	2024-07-26	1
发热伴	乐陵市	2024-08-03	1
发热伴	乐陵市	2024-08-04	1
发热伴	乐陵市	2024-08-16	2
发热伴	乐陵市	2024-08-21	1
发热伴	乐陵市	2024-08-26	2
发热伴	乐陵市	2024-08-30	1
发热伴	乐陵市	2024-09-12	1
发热伴	乐陵市	2024-09-24	1
发热伴	乐陵市	2024-09-29	1
发热伴	乐陵市	2024-10-03	2
发热伴	乳山市	2020-03-13	1
发热伴	乳山市	2020-06-04	1
发热伴	乳山市	2020-06-08	1
发热伴	乳山市	2020-06-10	1
发热伴	乳山市	2020-06-13	1
发热伴	乳山市	2020-06-17	1
发热伴	乳山市	2020-06-19	1
发热伴	乳山市	2020-06-21	1
发热伴	乳山市	2020-06-23	1
发热伴	乳山市	2020-07-08	1
发热伴	乳山市	2020-07-22	1
发热伴	乳山市	2020-07-27	1
发热伴	乳山市	2020-08-06	1
发热伴	乳山市	2020-08-07	1
发热伴	乳山市	2020-08-17	1
发热伴	乳山市	2020-08-30	1
发热伴	乳山市	2020-09-16	1
发热伴	乳山市	2020-09-20	1
发热伴	乳山市	2020-10-03	1
发热伴	乳山市	2020-10-04	1
发热伴	乳山市	2020-10-06	1
发热伴	乳山市	2021-04-24	1
发热伴	乳山市	2021-05-28	1
发热伴	乳山市	2021-06-02	1
发热伴	乳山市	2021-06-05	1
发热伴	乳山市	2021-06-06	2
发热伴	乳山市	2021-06-07	2
发热伴	乳山市	2021-06-10	1
发热伴	乳山市	2021-06-14	1
发热伴	乳山市	2021-06-16	1
发热伴	乳山市	2021-06-17	1
发热伴	乳山市	2021-06-20	1
发热伴	乳山市	2021-06-26	2
发热伴	乳山市	2021-06-27	2
发热伴	乳山市	2021-06-28	1
发热伴	乳山市	2021-06-30	1
发热伴	乳山市	2021-07-09	1
发热伴	乳山市	2021-07-12	2
发热伴	乳山市	2021-07-14	1
发热伴	乳山市	2021-07-20	1
发热伴	乳山市	2021-07-27	2
发热伴	乳山市	2021-08-05	2
发热伴	乳山市	2021-08-26	1
发热伴	乳山市	2021-09-12	1
发热伴	乳山市	2021-09-14	1
发热伴	乳山市	2021-09-24	2
发热伴	乳山市	2021-10-07	1
发热伴	乳山市	2021-10-08	2
发热伴	乳山市	2021-10-12	1
发热伴	乳山市	2021-10-19	1
发热伴	乳山市	2021-10-28	1
发热伴	乳山市	2022-04-26	1
发热伴	乳山市	2022-05-01	1
发热伴	乳山市	2022-05-12	1
发热伴	乳山市	2022-05-26	1
发热伴	乳山市	2022-06-05	1
发热伴	乳山市	2022-06-09	1
发热伴	乳山市	2022-06-16	2
发热伴	乳山市	2022-06-21	1
发热伴	乳山市	2022-06-22	1
发热伴	乳山市	2022-06-24	3
发热伴	乳山市	2022-06-25	1
发热伴	乳山市	2022-06-26	3
发热伴	乳山市	2022-06-27	1
发热伴	乳山市	2022-06-28	1
发热伴	乳山市	2022-07-01	1
发热伴	乳山市	2022-07-02	1
发热伴	乳山市	2022-07-06	1
发热伴	乳山市	2022-07-08	1
发热伴	乳山市	2022-07-21	1
发热伴	乳山市	2022-07-22	1
发热伴	乳山市	2022-07-25	1
发热伴	乳山市	2022-08-31	1
发热伴	乳山市	2022-09-13	1
发热伴	乳山市	2022-09-27	1
发热伴	乳山市	2022-09-28	1
发热伴	乳山市	2022-10-09	1
发热伴	乳山市	2023-04-25	1
发热伴	乳山市	2023-05-06	1
发热伴	乳山市	2023-05-13	1
发热伴	乳山市	2023-05-24	1
发热伴	乳山市	2023-05-26	1
发热伴	乳山市	2023-05-29	1
发热伴	乳山市	2023-06-02	2
发热伴	乳山市	2023-06-03	1
发热伴	乳山市	2023-06-08	1
发热伴	乳山市	2023-06-09	1
发热伴	乳山市	2023-06-14	2
发热伴	乳山市	2023-06-18	2
发热伴	乳山市	2023-06-21	1
发热伴	乳山市	2023-06-23	2
发热伴	乳山市	2023-06-25	1
发热伴	乳山市	2023-06-30	1
发热伴	乳山市	2023-07-02	1
发热伴	乳山市	2023-07-03	1
发热伴	乳山市	2023-07-04	1
发热伴	乳山市	2023-07-07	1
发热伴	乳山市	2023-07-13	2
发热伴	乳山市	2023-07-21	1
发热伴	乳山市	2023-07-29	1
发热伴	乳山市	2023-07-31	1
发热伴	乳山市	2023-08-03	1
发热伴	乳山市	2023-08-11	1
发热伴	乳山市	2023-08-12	1
发热伴	乳山市	2023-08-15	1
发热伴	乳山市	2023-08-24	1
发热伴	乳山市	2023-08-25	1
发热伴	乳山市	2023-08-29	1
发热伴	乳山市	2023-09-08	1
发热伴	乳山市	2023-09-13	1
发热伴	乳山市	2023-09-20	1
发热伴	乳山市	2023-09-23	1
发热伴	乳山市	2023-10-02	1
发热伴	乳山市	2023-10-04	1
发热伴	乳山市	2023-10-09	1
发热伴	乳山市	2023-10-19	1
发热伴	乳山市	2023-10-20	1
发热伴	乳山市	2024-04-26	1
发热伴	乳山市	2024-04-30	1
发热伴	乳山市	2024-05-01	1
发热伴	乳山市	2024-05-03	1
发热伴	乳山市	2024-05-13	1
发热伴	乳山市	2024-05-19	2
发热伴	乳山市	2024-05-20	2
发热伴	乳山市	2024-05-25	1
发热伴	乳山市	2024-05-26	2
发热伴	乳山市	2024-05-28	1
发热伴	乳山市	2024-05-30	2
发热伴	乳山市	2024-05-31	1
发热伴	乳山市	2024-06-02	4
发热伴	乳山市	2024-06-04	2
发热伴	乳山市	2024-06-05	1
发热伴	乳山市	2024-06-08	2
发热伴	乳山市	2024-06-15	2
发热伴	乳山市	2024-06-17	1
发热伴	乳山市	2024-06-19	1
发热伴	乳山市	2024-06-26	1
发热伴	乳山市	2024-07-06	1
发热伴	乳山市	2024-07-07	2
发热伴	乳山市	2024-07-09	1
发热伴	乳山市	2024-07-17	1
发热伴	乳山市	2024-07-20	1
发热伴	乳山市	2024-07-21	1
发热伴	乳山市	2024-07-23	1
发热伴	乳山市	2024-07-24	1
发热伴	乳山市	2024-07-25	1
发热伴	乳山市	2024-07-28	1
发热伴	乳山市	2024-07-29	1
发热伴	乳山市	2024-08-02	1
发热伴	乳山市	2024-08-03	1
发热伴	乳山市	2024-08-06	1
发热伴	乳山市	2024-08-07	1
发热伴	乳山市	2024-08-13	1
发热伴	乳山市	2024-08-14	1
发热伴	乳山市	2024-08-18	1
发热伴	乳山市	2024-08-22	1
发热伴	乳山市	2024-09-05	1
发热伴	乳山市	2024-09-20	1
发热伴	乳山市	2024-09-23	1
发热伴	乳山市	2024-09-24	2
发热伴	乳山市	2024-09-25	1
发热伴	乳山市	2024-09-27	1
发热伴	乳山市	2024-10-04	1
发热伴	乳山市	2024-10-06	1
发热伴	乳山市	2024-10-18	1
发热伴	五莲县	2020-05-14	1
发热伴	五莲县	2020-06-03	1
发热伴	五莲县	2020-06-10	1
发热伴	五莲县	2020-06-11	1
发热伴	五莲县	2020-08-09	1
发热伴	五莲县	2020-09-13	1
发热伴	五莲县	2020-10-02	1
发热伴	五莲县	2020-10-11	2
发热伴	五莲县	2021-05-21	1
发热伴	五莲县	2021-05-27	1
发热伴	五莲县	2021-06-02	1
发热伴	五莲县	2021-07-01	1
发热伴	五莲县	2021-07-12	1
发热伴	五莲县	2021-08-16	2
发热伴	五莲县	2021-08-18	1
发热伴	五莲县	2021-10-21	1
发热伴	五莲县	2021-11-07	1
发热伴	五莲县	2022-05-10	1
发热伴	五莲县	2022-05-23	1
发热伴	五莲县	2022-05-25	1
发热伴	五莲县	2022-05-28	1
发热伴	五莲县	2022-06-27	1
发热伴	五莲县	2022-06-29	1
发热伴	五莲县	2022-07-01	1
发热伴	五莲县	2022-07-19	1
发热伴	五莲县	2022-07-26	1
发热伴	五莲县	2022-08-01	1
发热伴	五莲县	2022-08-03	1
发热伴	五莲县	2023-04-22	1
发热伴	五莲县	2023-04-26	2
发热伴	五莲县	2023-05-05	1
发热伴	五莲县	2023-05-08	1
发热伴	五莲县	2023-05-10	1
发热伴	五莲县	2023-05-16	1
发热伴	五莲县	2023-05-29	1
发热伴	五莲县	2023-06-02	2
发热伴	五莲县	2023-06-13	1
发热伴	五莲县	2023-06-14	1
发热伴	五莲县	2023-07-13	1
发热伴	五莲县	2023-08-07	1
发热伴	五莲县	2023-08-17	1
发热伴	五莲县	2023-09-15	1
发热伴	五莲县	2023-09-19	1
发热伴	五莲县	2023-10-04	1
发热伴	五莲县	2023-10-16	1
发热伴	五莲县	2023-10-21	3
发热伴	五莲县	2024-04-22	1
发热伴	五莲县	2024-05-01	1
发热伴	五莲县	2024-05-02	1
发热伴	五莲县	2024-05-07	1
发热伴	五莲县	2024-05-12	1
发热伴	五莲县	2024-05-15	1
发热伴	五莲县	2024-05-16	1
发热伴	五莲县	2024-05-17	1
发热伴	五莲县	2024-05-20	1
发热伴	五莲县	2024-05-22	1
发热伴	五莲县	2024-05-24	1
发热伴	五莲县	2024-05-28	1
发热伴	五莲县	2024-06-03	2
发热伴	五莲县	2024-06-08	1
发热伴	五莲县	2024-06-15	1
发热伴	五莲县	2024-06-16	1
发热伴	五莲县	2024-06-17	1
发热伴	五莲县	2024-06-28	1
发热伴	五莲县	2024-07-01	1
发热伴	五莲县	2024-07-04	1
发热伴	五莲县	2024-07-09	1
发热伴	五莲县	2024-07-12	1
发热伴	五莲县	2024-07-14	1
发热伴	五莲县	2024-07-17	1
发热伴	五莲县	2024-07-24	1
发热伴	五莲县	2024-07-28	1
发热伴	五莲县	2024-07-29	1
发热伴	五莲县	2024-08-05	1
发热伴	五莲县	2024-08-08	1
发热伴	五莲县	2024-08-12	1
发热伴	五莲县	2024-08-14	1
发热伴	五莲县	2024-08-17	1
发热伴	五莲县	2024-08-21	1
发热伴	五莲县	2024-09-01	1
发热伴	五莲县	2024-09-18	1
发热伴	五莲县	2024-09-29	2
发热伴	五莲县	2024-10-04	1
发热伴	兰山区	2024-05-30	1
发热伴	兰山区	2024-07-31	1
发热伴	兰山区	2024-08-07	1
发热伴	兰山区	2024-08-25	1
发热伴	兰陵县	2021-04-22	1
发热伴	兰陵县	2022-01-18	1
发热伴	兰陵县	2022-09-16	1
发热伴	兰陵县	2023-05-26	1
发热伴	兰陵县	2023-07-26	1
发热伴	兰陵县	2023-07-28	1
发热伴	兰陵县	2023-08-06	1
发热伴	兰陵县	2023-08-07	1
发热伴	兰陵县	2023-08-15	1
发热伴	兰陵县	2023-08-22	1
发热伴	兰陵县	2024-05-16	1
发热伴	兰陵县	2024-08-14	1
发热伴	兰陵县	2024-08-18	1
发热伴	兰陵县	2024-09-03	1
发热伴	兰陵县	2024-10-09	1
发热伴	博山区	2020-05-12	1
发热伴	博山区	2020-07-11	1
发热伴	博山区	2020-07-24	1
发热伴	博山区	2021-08-03	1
发热伴	博山区	2021-08-19	1
发热伴	博山区	2021-09-02	1
发热伴	博山区	2021-09-05	1
发热伴	博山区	2021-09-30	1
发热伴	博山区	2021-10-10	1
发热伴	博山区	2022-07-07	1
发热伴	博山区	2022-08-05	1
发热伴	博山区	2022-08-14	1
发热伴	博山区	2022-09-05	1
发热伴	博山区	2023-05-10	1
发热伴	博山区	2023-06-11	1
发热伴	博山区	2023-06-18	1
发热伴	博山区	2023-07-15	1
发热伴	博山区	2023-07-19	1
发热伴	博山区	2023-07-22	1
发热伴	博山区	2023-07-28	1
发热伴	博山区	2023-07-30	1
发热伴	博山区	2023-08-02	1
发热伴	博山区	2023-08-04	1
发热伴	博山区	2023-08-07	1
发热伴	博山区	2023-08-12	1
发热伴	博山区	2023-08-13	1
发热伴	博山区	2023-08-16	1
发热伴	博山区	2023-08-17	2
发热伴	博山区	2023-09-03	1
发热伴	博山区	2023-09-13	1
发热伴	博山区	2023-10-09	2
发热伴	博山区	2023-10-12	1
发热伴	博山区	2023-10-20	1
发热伴	博山区	2024-05-03	1
发热伴	博山区	2024-05-04	1
发热伴	博山区	2024-05-06	1
发热伴	博山区	2024-05-24	1
发热伴	博山区	2024-05-27	1
发热伴	博山区	2024-06-06	1
发热伴	博山区	2024-07-07	1
发热伴	博山区	2024-07-13	1
发热伴	博山区	2024-07-21	1
发热伴	博山区	2024-07-25	2
发热伴	博山区	2024-08-24	1
发热伴	博山区	2024-09-05	1
发热伴	博山区	2024-09-14	1
发热伴	博山区	2024-09-17	1
发热伴	博山区	2024-09-28	2
发热伴	即墨区	2020-05-22	1
发热伴	即墨区	2020-05-28	1
发热伴	即墨区	2020-06-16	1
发热伴	即墨区	2020-06-18	2
发热伴	即墨区	2020-06-24	1
发热伴	即墨区	2020-07-01	1
发热伴	即墨区	2020-08-06	1
发热伴	即墨区	2020-08-10	1
发热伴	即墨区	2020-08-14	1
发热伴	即墨区	2020-08-17	1
发热伴	即墨区	2020-08-23	1
发热伴	即墨区	2020-09-03	1
发热伴	即墨区	2020-10-07	1
发热伴	即墨区	2020-10-08	1
发热伴	即墨区	2020-10-27	1
发热伴	即墨区	2021-04-07	1
发热伴	即墨区	2021-05-13	1
发热伴	即墨区	2021-05-18	3
发热伴	即墨区	2021-05-19	1
发热伴	即墨区	2021-06-12	1
发热伴	即墨区	2021-06-16	1
发热伴	即墨区	2021-06-18	1
发热伴	即墨区	2021-06-20	1
发热伴	即墨区	2021-07-13	1
发热伴	即墨区	2021-07-18	1
发热伴	即墨区	2021-07-31	1
发热伴	即墨区	2021-08-12	1
发热伴	即墨区	2021-08-13	1
发热伴	即墨区	2021-10-12	1
发热伴	即墨区	2022-04-30	1
发热伴	即墨区	2022-05-09	1
发热伴	即墨区	2022-06-01	1
发热伴	即墨区	2022-06-07	1
发热伴	即墨区	2022-06-10	1
发热伴	即墨区	2022-06-21	1
发热伴	即墨区	2022-06-23	3
发热伴	即墨区	2022-06-29	1
发热伴	即墨区	2022-07-02	1
发热伴	即墨区	2022-07-03	1
发热伴	即墨区	2022-07-13	1
发热伴	即墨区	2022-07-14	1
发热伴	即墨区	2022-07-25	1
发热伴	即墨区	2022-07-29	1
发热伴	即墨区	2022-08-03	1
发热伴	即墨区	2022-08-04	1
发热伴	即墨区	2022-08-10	1
发热伴	即墨区	2022-08-25	1
发热伴	即墨区	2022-09-01	1
发热伴	即墨区	2023-05-29	1
发热伴	即墨区	2023-06-04	1
发热伴	即墨区	2023-06-08	1
发热伴	即墨区	2023-06-09	1
发热伴	即墨区	2023-06-10	1
发热伴	即墨区	2023-06-12	2
发热伴	即墨区	2023-06-18	1
发热伴	即墨区	2023-06-23	1
发热伴	即墨区	2023-07-28	1
发热伴	即墨区	2023-08-16	1
发热伴	即墨区	2023-08-22	1
发热伴	即墨区	2023-10-10	1
发热伴	即墨区	2023-10-13	1
发热伴	即墨区	2023-10-15	1
发热伴	即墨区	2023-10-16	1
发热伴	即墨区	2024-05-03	1
发热伴	即墨区	2024-05-06	1
发热伴	即墨区	2024-05-14	1
发热伴	即墨区	2024-05-15	1
发热伴	即墨区	2024-05-17	1
发热伴	即墨区	2024-05-18	1
发热伴	即墨区	2024-05-19	1
发热伴	即墨区	2024-05-21	1
发热伴	即墨区	2024-05-22	1
发热伴	即墨区	2024-05-24	1
发热伴	即墨区	2024-05-30	1
发热伴	即墨区	2024-05-31	1
发热伴	即墨区	2024-06-01	1
发热伴	即墨区	2024-06-04	1
发热伴	即墨区	2024-06-05	2
发热伴	即墨区	2024-06-06	2
发热伴	即墨区	2024-06-07	2
发热伴	即墨区	2024-06-11	1
发热伴	即墨区	2024-06-19	1
发热伴	即墨区	2024-06-25	2
发热伴	即墨区	2024-06-26	1
发热伴	即墨区	2024-07-02	1
发热伴	即墨区	2024-07-16	1
发热伴	即墨区	2024-07-18	1
发热伴	即墨区	2024-08-02	2
发热伴	即墨区	2024-08-12	1
发热伴	即墨区	2024-08-16	1
发热伴	即墨区	2024-08-19	1
发热伴	即墨区	2024-08-27	1
发热伴	即墨区	2024-09-27	1
发热伴	历下区	2020-08-19	1
发热伴	历下区	2021-08-23	1
发热伴	历下区	2021-09-19	1
发热伴	历城区	2020-06-29	1
发热伴	历城区	2020-07-07	1
发热伴	历城区	2020-07-17	1
发热伴	历城区	2020-08-05	1
发热伴	历城区	2020-09-01	1
发热伴	历城区	2020-09-05	1
发热伴	历城区	2020-09-21	1
发热伴	历城区	2020-10-03	1
发热伴	历城区	2021-06-12	1
发热伴	历城区	2021-07-12	1
发热伴	历城区	2021-08-03	1
发热伴	历城区	2021-08-20	1
发热伴	历城区	2021-08-26	1
发热伴	历城区	2021-09-16	1
发热伴	历城区	2021-09-23	1
发热伴	历城区	2021-09-27	1
发热伴	历城区	2021-10-25	1
发热伴	历城区	2022-05-05	1
发热伴	历城区	2022-05-19	1
发热伴	历城区	2022-06-14	1
发热伴	历城区	2022-07-01	1
发热伴	历城区	2022-08-07	1
发热伴	历城区	2022-08-21	1
发热伴	历城区	2022-09-23	1
发热伴	历城区	2023-05-31	1
发热伴	历城区	2023-06-06	1
发热伴	历城区	2023-06-22	1
发热伴	历城区	2023-07-21	1
发热伴	历城区	2023-08-15	1
发热伴	历城区	2023-09-07	1
发热伴	历城区	2024-05-13	1
发热伴	历城区	2024-06-03	1
发热伴	历城区	2024-06-06	1
发热伴	历城区	2024-07-12	1
发热伴	历城区	2024-07-17	1
发热伴	历城区	2024-07-29	1
发热伴	历城区	2024-08-01	2
发热伴	历城区	2024-08-03	1
发热伴	历城区	2024-08-11	1
发热伴	历城区	2024-08-23	1
发热伴	历城区	2024-09-25	2
发热伴	台儿庄区	2024-08-29	1
发热伴	周村区	2022-07-02	1
发热伴	周村区	2022-08-08	1
发热伴	周村区	2023-05-20	1
发热伴	周村区	2023-07-05	1
发热伴	周村区	2024-05-07	1
发热伴	周村区	2024-09-15	1
发热伴	商河县	2021-09-26	1
发热伴	商河县	2024-06-19	1
发热伴	商河县	2024-11-05	1
发热伴	坊子区	2021-03-31	1
发热伴	坊子区	2021-08-14	1
发热伴	坊子区	2022-05-24	1
发热伴	坊子区	2024-08-07	1
发热伴	垦利区	2022-07-30	1
发热伴	城阳区	2020-06-24	1
发热伴	城阳区	2021-06-22	1
发热伴	城阳区	2021-07-03	1
发热伴	城阳区	2021-08-23	1
发热伴	城阳区	2022-06-29	2
发热伴	城阳区	2022-08-24	1
发热伴	城阳区	2023-05-16	1
发热伴	城阳区	2023-06-01	1
发热伴	城阳区	2023-07-27	1
发热伴	城阳区	2023-08-29	1
